author_sort,authors,comments,cover,timestamp,formats,isbn,id,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,uuid
"Meyer, Erin","Erin Meyer","","/Users/andriigorishnii/Calibre Library/Erin Meyer/The Culture Map_ Breaking Through the Invisible Boundaries of Global Business (14)/cover.jpg","2022-05-05T21:16:39-07:00","azw3, epub","9781610392594","14","mobi-asin:B06XCGTKL8,isbn:9781610392594","eng","Calibre Library","2014-05-27T00:00:00-07:00","PublicAffairs","","","1.0","2282184","","The Culture Map: Breaking Through the Invisible Boundaries of Global Business","Culture Map: Breaking Through the Invisible Boundaries of Global Business, The","502f48b2-4d34-4eef-a6a5-e29e92a6bfe2"
"Latka, Nathan","Nathan Latka","","/Users/andriigorishnii/Calibre Library/Nathan Latka/How to Be a Capitalist Without Any Capital (15)/cover.jpg","2022-05-05T21:18:48-07:00","azw3, epub","","15","mobi-asin:B07DBQXMRD","eng","Calibre Library","2019-03-05T00:00:00-08:00","Penguin Publishing Group","","","1.0","11104828","","How to Be a Capitalist Without Any Capital","How to Be a Capitalist Without Any Capital","05cf2950-b028-4c23-ae9d-470098d6928a"
"Gall, John","John Gall","","/Users/andriigorishnii/Calibre Library/John Gall/SYSTEMANTICS. THE SYSTEMS BIBLE (16)/cover.jpg","2022-05-05T21:22:17-07:00","azw3, epub","","16","mobi-asin:B00AK1BIDM","eng","Calibre Library","2012-12-06T00:00:00-08:00","GENERAL SYSTEMANTICS PRESS","","","1.0","1296085","","SYSTEMANTICS. THE SYSTEMS BIBLE","SYSTEMANTICS. THE SYSTEMS BIBLE","8c4ed5e4-033b-4062-ace8-9ed806bb87a0"
"Eco, Umberto","Umberto Eco","","/Users/andriigorishnii/Calibre Library/Umberto Eco/Travels in Hyperreality (Harvest Book) (18)/cover.jpg","2022-05-05T21:22:52-07:00","azw3, epub","","18","mobi-asin:B00KV1QTDA","eng","Calibre Library","2014-06-24T00:00:00-07:00","Houghton Mifflin Harcourt","","","1.0","583772","","Travels in Hyperreality (Harvest Book)","Travels in Hyperreality (Harvest Book)","730279e3-c158-4a91-9a63-0f5287d0740f"
"habr.com","habr.com","","/Users/andriigorishnii/Calibre Library/habr.com/15 koghnitivnykh iskazhienii (19)/cover.jpg","2022-05-06T11:10:50-07:00","azw3, epub","","19","mobi-asin:8F8D7A5F59D64D52981A367D4195B22E","rus","Calibre Library","2020-11-27T00:00:00-08:00","","","","1.0","243512","","15 когнитивных искажений","15 когнитивных искажений","70b935ca-6951-486a-8a51-33d838f32f14"
"Оруэлл, Джордж","Джордж Оруэлл","«Последние десять лет я больше всего хотел превратить политические писания в искусство», — сказал Оруэлл в 1946 году, и до нынешних дней его книги и статьи убедительно показывают, каким может стать наш мир. Большой Брат по-прежнему не смыкает глаз, а некоторые равные — равнее прочих…
","/Users/andriigorishnii/Calibre Library/Dzhordzh Oruell/1984 (20)/cover.jpg","2022-05-06T11:12:40-07:00","epub, mobi","","20","mobi-asin:FX5H3EKZOPDSPXIJBSNYNSOTNZIY4SN7","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","645799","","1984","1984","56e6efdf-e1b5-474d-ba1a-994f202c68b8"
"Morgan, Kate","Kate Morgan","Changing minds is hard to do: When our most dearly held opinions — things like political convictions","","2022-05-06T11:14:14-07:00","epub, mobi","","21","mobi-asin:HWQACLG5JHGDRVZD2HME3X54AA5QAOSO","","Calibre Library","2019-03-05T00:00:00-08:00","","","","1.0","58471","","A Guide to Changing Someone Else’s Beliefs","Guide to Changing Someone Else’s Beliefs, A","51a5345d-e417-4327-b113-7fc638da95c5"
"Ravikant, Naval","Naval Ravikant","","","2022-05-06T11:16:51-07:00","azw3, epub","","22","mobi-asin:B418D61993244111B9D6486679D982DF","eng","Calibre Library","2020-04-21T00:00:00-07:00","","","","1.0","221732","","Naval: How to Get Rich","Naval: How to Get Rich","d09b1971-9447-4acc-821d-0262164816ea"
"Kiyosaki, Robert","Robert Kiyosaki","","","2022-05-06T11:17:33-07:00","epub, mobi","","23","mobi-asin:7KDNFJIYH2EFZ7WPC7XYLZRMCQ2KZJUQ","eng","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","204584","","Rich Dad Poor Dad","Rich Dad Poor Dad","d492aeef-8ee0-4729-a313-d6e83e92a552"
"Pausch, Jeffrey Zaslow Randy","Jeffrey Zaslow Randy Pausch","","/Users/andriigorishnii/Calibre Library/Jeffrey Zaslow Randy Pausch/The Last Lecture (24)/cover.jpg","2022-05-06T11:18:25-07:00","epub, mobi","","24","mobi-asin:GED5EVUMBLRSMOBNSEP6UN3ZIM4O2JOW","eng","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","166135","","The Last Lecture","Last Lecture, The","9c7b884d-824b-47f2-b2dd-7e96221a13c8"
"Thiel, Peter","Peter Thiel","<p><b>If you want to build a better future, you must believe in secrets.</b><br> <br> The great secret of our time is that there are still uncharted frontiers to explore and new inventions to create. In <b><i>Zero to One</i></b>, legendary entrepreneur and investor Peter Thiel shows how we can find singular ways to create those new things. <br><br> Thiel begins with the contrarian premise that we live in an age of technological stagnation, even if we're too distracted by shiny mobile devices to notice. Information technology has improved rapidly, but there is no reason why progress should be limited to computers or Silicon Valley. Progress can be achieved in any industry or area of business. It comes from the most important skill that every leader must master: learning to think for yourself.<br><br> Doing what someone else already knows how to do takes the world from 1 to n, adding more of something familiar. But when you do something new, you go from 0 to 1. The next Bill Gates...","/Users/andriigorishnii/Calibre Library/Peter Thiel/Zero to One (25)/cover.jpg","2022-05-06T11:20:42-07:00","epub, mobi","9780804139304","25","mobi-asin:KSJYVPQO3QANEWCLMELTTS6OCF7G46L3,isbn:9780804139304","eng","Calibre Library","2019-02-23T00:00:00-08:00","Crown Publishing Group","","","1.0","15720775","","Zero to One","Zero to One","eab0a226-0ade-488a-ac5f-9cc56985593a"
"Кэрролл, Льюис","Льюис Кэрролл","В этой книге вы встретитесь с девочкой Алисой и попадете вместе с ней в удивительный, загадочный мир чудес Льюиса Кэрролла. Сказочная повесть в пересказе Бориса Заходера.
","/Users/andriigorishnii/Calibre Library/L'iuis Kerroll/Alisa v stranie chudies (26)/cover.jpg","2022-05-06T11:22:30-07:00","epub, mobi","","26","mobi-asin:BMFRKSZTVW7IVAGIAP2DMQ4MF6C53FWS","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","659291","","Алиса в стране чудес","Алиса в стране чудес","c49bedfb-3ebd-4ef4-9692-a7ad23bed8aa"
"Солженицын, Александр","Александр Солженицын","«Архипелаг ГУЛаг» – историей репрессий, лагерей и тюрем в Советском Союзе (ГУЛаг – Главное управление лагерей). Книга была завершена в 1968. «Архипелаг ГУЛаг» – одновременно и историческое исследование с элементами пародийного этнографического очерка, и мемуары автора, повествующие о своем лагерном опыте, и эпопея страданий, и мартиролог – рассказы о мучениках ГУЛага. Повествование о советских концлагерях ориентировано на текст Библии: создание ГУЛага представлено как «вывернутое наизнанку» творение мира Богом (создается сатанинский анти-мир); семь книг «Архипелага ГУЛага» соотнесены с семью печатями Книги из Откровения святого Иоанна Богослова, по которой Господь будет судить людей в конце времен.
","/Users/andriigorishnii/Calibre Library/Alieksandr Solzhienitsyn/Arkhipielagh GULAG. Tom 1 (27)/cover.jpg","2022-05-06T11:23:06-07:00","epub, mobi","","27","mobi-asin:CVY2UTKXKSJVJJCHY4FOPGGRLBEO4YUH","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","1376649","","Архипелаг ГУЛАГ. Том 1","Архипелаг ГУЛАГ. Том 1","1a28e68d-9a7f-48d5-9b33-88e8b06dba21"
"Солженицын, Александр","Александр Солженицын","Архипелаг ГУЛАГ — художественно-историческое исследование Александра Солженицына о советской репрессивной системе в период с 1918 по 1956 годы. ГУЛАГ — аббревиатура от Главное Управление ЛАГерей, название «Архипелаг ГУЛАГ» — аллюзия на «Остров Сахалин» А. П. Чехова. «Архипелаг ГУЛАГ» был написан Солженицыным в СССР тайно (закончен 22 февраля 1967 г.), первый том опубликован в Париже в декабре 1973 г. Вопреки распространённому мнению, присуждение Солженицыну Нобелевской премии в 1970 г. не связано с «Архипелагом ГУЛАГ». Книга производила крайне сильное впечатление на тогдашних читателей. Из-за яркой антисоветской направленности «Архипелаг» был популярен среди диссидентов, считается наиболее значительным антикоммунистическим произведением. В СССР «Архипелаг» был опубликован в 1990 г. Словосочетание «Архипелаг ГУЛАГ» стало нарицательным, часто используется в публицистике и художественной литературе, в первую очередь по отношению к пенитенциарной системе СССР 20-50-х годов.
","/Users/andriigorishnii/Calibre Library/Alieksandr Solzhienitsyn/Arkhipielagh GULAG. Tom 2 (28)/cover.jpg","2022-05-06T11:25:07-07:00","epub, mobi","","28","mobi-asin:2XJTUHST2HJ4ODGMK2HYS2TY6ZAAGA56","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","1451433","","Архипелаг ГУЛАГ. Том 2","Архипелаг ГУЛАГ. Том 2","877d2964-0995-4f72-b457-01fe067ebae1"
"Солженицын, Александр","Александр Солженицын","""Архипелаг ГУЛАГ"" - самая известная книга А.И.Солженицына. Впервые это фундаментальное исследование о репрессиях эпохи Сталина было издано в начале 70-х гг. на Западе, потом в ""самиздате"" и лишь в годы ""перестройки"" – в России, но и по сей день тема не потеряла свою актуальность, а авторский текст – непримиримость и страстность. В документально-художественной эпопее ""Архипелаг ГУЛАГ"" всесторонне рассмотрена введенная в нашей стране при советской власти система наказания, когда каторге были подвергнуты миллионы ни в чем неповинных людей. Писатель собрал и обобщил огромный исторический материал, развеивающий миф о ""гуманности"" ленинизма. Эта сокрушительная и глубоко аргументированная критика советской системы произвела во всем мире эффект разорвавшейся бомбы. (В СССР за чтение, хранение, распространение (дал кому-то почитать) ""Архипелага ГУЛАГ"" можно было получить до восьми лет лишения свободы.)
","/Users/andriigorishnii/Calibre Library/Alieksandr Solzhienitsyn/Arkhipielagh GULAG. Tom 3 (29)/cover.jpg","2022-05-06T11:25:50-07:00","epub, mobi","","29","mobi-asin:MIG5VWOU5WERINTYG4EZNK2KLG4N3PLL","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","1299905","","Архипелаг ГУЛАГ. Том 3","Архипелаг ГУЛАГ. Том 3","50f67f48-9237-43e8-9591-e80cfcfc1ff7"
"Фрил, Джо","Джо Фрил","Джо Фрил полностью переписал ""Библию триатлета"" с учетом современных спортивных реалий и собственного нового опыта. Большое внимание он уделяет психологическим факторам успеха, поскольку спортивные результаты прежде всего ""в голове"".","/Users/andriigorishnii/Calibre Library/Dzho Fril/Bibliia triatlieta (30)/cover.jpg","2022-05-06T11:26:28-07:00","azw3, epub","9785001173144","30","mobi-asin:SJQ6Y4WWTAQKEQDLJ3R4FQIRMR4FWFQR,isbn:9785001173144","rus","Calibre Library","2020-07-07T00:00:00-07:00","","","","1.0","5044844","","Библия триатлета","Библия триатлета","81e3d15f-5443-4282-8527-a460545620c9"
"Эспри, Дэйв","Дэйв Эспри","Книга о том, какие продукты необходимы и каких следует избегать, какие нужны виды физической активности, как правильно организовать рабочее пространство, а еще о добавках, детоксе и практиках, чтобы через две недели мозг заработал на 100%.","/Users/andriigorishnii/Calibre Library/Deiv Espri/Biokhakingh mozgha (31)/cover.jpg","2022-05-06T11:27:07-07:00","azw3, epub","9785001176312","31","mobi-asin:BOBBKYJCATA5TKEL4EJSSA2IB3LF6RBJ,isbn:9785001176312","rus","Calibre Library","2019-02-23T00:00:00-08:00","Манн, Иванов и Фербер","","","1.0","1761292","","Биохакинг мозга","Биохакинг мозга","03124ee0-32f5-4c86-8dfa-95c871ffc70f"
"Адамс, Дуглас Ноэль","Дуглас Ноэль Адамс","","/Users/andriigorishnii/Calibre Library/Dughlas Noel' Adams/Avtostopom po ghalaktikie - V osnovnom biezvriedna (32)/cover.jpg","2022-05-06T11:28:00-07:00","epub, mobi","","32","mobi-asin:TUIRLN2IP24YCEYWTBKPMAVJYQHSBULZ","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","Автостопом по галактике","5.0","443128","","Автостопом по галактике - В основном безвредна","Автостопом по галактике - В основном безвредна","6f7bf02f-aa8f-44e6-92f1-5f7fe9c72fe0"
"Адамс, Дуглас Ноэль","Дуглас Ноэль Адамс","","/Users/andriigorishnii/Calibre Library/Dughlas Noel' Adams/Avtostopom po ghalaktikie - Vsiegho khoroshiegho, i spasibo za rybu! (33)/cover.jpg","2022-05-06T11:31:20-07:00","epub, mobi","","33","mobi-asin:YCD64ITADZDYSE65IOW3GFA77LL6F5DU","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","Автостопом по галактике","4.0","350835","","Автостопом по галактике - Всего хорошего, и спасибо за рыбу!","Автостопом по галактике - Всего хорошего, и спасибо за рыбу!","700dd550-1026-4b5e-80c1-5d65a6674289"
"Маркес, Габриэль","Габриэль Маркес","Эта книга – о любви. О любви, настигшей человека в конце жизни, которую он прожил бездарно, растрачивая тело на безлюбый секс и не затрачивая души. Любовь, случившаяся с ним, гибельна и прекрасна, она наполняет его существование смыслом, открывает ему иное видение привычных вещей и вдыхает живое тепло в его, ставшую холодным ремеслом профессию. И еще эта книга – о старости. О той поре, когда желания еще живы, а силы уже на исходе, и человеку остается последняя мудрость – увидеть без прикрас и обманных иллюзий всю красоту, жестокость и невозвратную быстротечность жизни.","/Users/andriigorishnii/Calibre Library/Gabriel' Markies/Vspominaia moikh ghrustnykh shliukh (34)/cover.jpg","2022-05-06T11:33:23-07:00","epub, mobi","","34","mobi-asin:VVXPX77TM4TFZAFW67FPKW7YHCD4W3Y7","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","163068","","Вспоминая моих грустных шлюх","Вспоминая моих грустных шлюх","5a0d52db-5c17-45fc-9f84-15163cff9521"
"Гладуэлл, Малкольм","Малкольм Гладуэлл","Жизнь несправедлива. Деньги, власть, слава и успех распределяются среди людей крайне неравномерно. Но почему одним все, а другим ничего? Правильно ли сводить причины успеха только к личным качествам, дарованным природой? Малкольм Гладуэлл первый, кто обнаружил скрытые законы за тем, что всегда казалось исключительно волей случая. Эти законы объясняют, почему выдающиеся хоккеисты рождаются, как правило, в январе и практически никогда — в октябре, почему азиатским школьникам математика дается легче, чем другим, почему, чтобы стать престижным нью-йоркским адвокатом, нужно быть евреем. Книга показывает, что есть общего у Билла Гейтса, «Битлз» и Моцарта и почему им удалось переплюнуть сверстников. «Гении и аутсайдеры» — не пособие «как стать успешным». Это увлекательное путешествие в мир законов жизни, из которого вы можете извлечь пользу.","/Users/andriigorishnii/Calibre Library/Malkol'm Gladuell/Gienii i autsaidiery (35)/cover.jpg","2022-05-06T11:34:33-07:00","epub, mobi","9785000578193","35","isbn:9785000578193,mobi-asin:E45SQEEWP3D4NX73GYZGE4BRAUQE4AAD","rus","Calibre Library","2018-08-30T00:00:00-07:00","Манн, Иванов и Фербер","","","1.0","3002144","","Гении и аутсайдеры","Гении и аутсайдеры","79c985b2-3fe5-4f6b-bbfb-24c97d741cd4"
"Остин, Джейн","Джейн Остин","Гордость женщины, практически нищей и совершенно свободной — в своей бедности, в своей иронии, в силе своего характера... Есть ли нечто равное такой гордости?.. Предубеждение женщины, почти не способной уже, по привычке отвечать ударом на удар, поверить в искренность мужского чувства и перестать об этом думать. Это — «Гордость и предубеждение» Джейн Остен. Книга, без которой сейчас не существовало бы, наверное, ни «психологического» романа, ни «феминистской» литературы, ни — попросту — «элитной» прозы как таковой!
","/Users/andriigorishnii/Calibre Library/Dzhiein Ostin/Gordost' i priedubiezhdieniie (36)/cover.jpg","2022-05-06T11:35:01-07:00","epub, mobi","","36","mobi-asin:U7E6DAGPNZ4XR6743HMEQ4DCIJRTHADZ","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","849693","","Гордость и предубеждение","Гордость и предубеждение","795bef6c-149a-4058-8702-68c0ec17d8d3"
"Воннегут, Курт","Курт Воннегут","Хотя это — повесть о людях, главный герой в ней — накопленный ими капитал, так же, как в повести о пчелах главным героем мог бы стать накопленный ими мед.","/Users/andriigorishnii/Calibre Library/Kurt Vonnieghut/Dai vam bogh zdorov'ia, mistier Rozuotier, ili Nie miechitie bisiera pieried svin'iami (37)/cover.jpg","2022-05-06T11:36:13-07:00","epub, mobi","","37","mobi-asin:VKRNLQ3U3QBSVHX5ETPTT5MHDUTYSSF3","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","383945","","Дай вам бог здоровья, мистер Розуотер, или Не мечите бисера перед свиньями","Дай вам бог здоровья, мистер Розуотер, или Не мечите бисера перед свиньями","f51b97f1-2eb7-4807-b351-d6b877f231b9"
"Кристи, Агата","Агата Кристи","Имя Агаты Кристи не нуждается в представлении, ей давно отдана пальма первенства среди писательниц детективного жанра. В книге собраны лучшие романы Агаты Кристи, где в полной мере проявилась способность писательницы придумывать замысловатые сюжеты и находить неожиданные оригинальные развязки. На страницах книги читатели встретятся с любимым персонажем Агаты Кристи сыщиком Эркюлем Пуаро, который с блеском проявляет свои аналитические способности при раскрытии самых головоломных преступлений.","/Users/andriigorishnii/Calibre Library/Aghata Kristi/Diesiat' nieghritiat (38)/cover.jpg","2022-05-06T11:37:40-07:00","epub, mobi","","38","mobi-asin:K5APFEVTCK3M46FJXTAEYXIGOZXW2YBE","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","379968","","Десять негритят","Десять негритят","3331b119-9e4c-4349-a799-fe3f05c8c880"
"Харрис, Джоанн","Джоанн Харрис","Привилегированная школа Сент-Освальд всегда славилась безупречным порядком и исключительным благонравием. Трудно даже представить, что здесь может произойти нечто дерзкое, возмутительное, вопиющее. Однако это происходит. Начинается с каких-то мелких недоразумений, но постепенно события нарастают как снежный ком. Против Сент-Освальд ведется тайная война, ведущая к ее полному разрушению. И никто не знает, что корни происходящего уходят в прошлое, когда страдающий ребенок твердо решил отомстить школе за свое унижение.","/Users/andriigorishnii/Calibre Library/Dzhoann Kharris/Dzhientl'mieny i ighroki (39)/cover.jpg","2022-05-06T11:38:45-07:00","epub, mobi","","39","mobi-asin:OXKHJANL2BRDQEO4AQ3HE4KD7Q7GZ7HV","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","797851","","Джентльмены и игроки","Джентльмены и игроки","6b6390eb-3d90-4367-a61d-9fb5173afd79"
"Адамс, Дуглас Ноэль","Дуглас Ноэль Адамс","«Путеводитель «Автостопом по Галактике». Легендарная ироническая научно-фантастическая сага Дугласа Адамса, о которой уже написано и сказано столько, что добавить что-то еще покажется глупостью и почти святотатством! Впрочем... Вы хотите знать, как приготовить коктейль «Пангалактический Грызлодер»? Хотите понять, как просуществовать на жалкие тридцать альтаирских долларов в день? Хотите играючи разорить межпланетную суперкорпорацию? Ах нет? Так, может, вам интересно, ЧТО Бог завещал сотворенному Им миру? ! Читайте ШЕДЕВР Дугласа Адамса — и вы узнаете не только ЭТО, но и КОЕ-ЧТО ЕЩЕ!
","/Users/andriigorishnii/Calibre Library/Dughlas Noel' Adams/Avtostopom po ghalaktikie - Zhizn', Vsieliennaia i vsie ostal'noie (40)/cover.jpg","2022-05-06T11:40:40-07:00","epub, mobi","","40","mobi-asin:CZB63H65SSTKKHKTZRVZO4FBYXL3SCKW","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","Автостопом по галактике","3.0","409358","","Автостопом по галактике - Жизнь, Вселенная и все остальное","Автостопом по галактике - Жизнь, Вселенная и все остальное","5c2ca9c1-8daa-4c31-bd40-a7ca1f5e6eb4"
"Браун, Дэн","Дэн Браун","…Оказавшись в самом загадочном городе Италии – Флоренции, профессор Лэнгдон, специалист по кодам, символам и истории искусства, неожиданно попадает в водоворот событий, которые способны привести к гибели все человечество. И помешать этому может только разгадка тайны, некогда зашифрованной Данте в строках бессмертной эпической поэмы.","/Users/andriigorishnii/Calibre Library/Den Braun/Infierno (41)/cover.jpg","2022-05-06T11:43:31-07:00","epub, mobi","9785170793495","41","isbn:9785170793495,mobi-asin:JQ3QZ3HZHJLVSPRPWUT5HYG77JSEPBK3","rus","Calibre Library","2019-02-23T00:00:00-08:00","АСТ","","","1.0","1227322","","Инферно","Инферно","b84c1499-fed1-4335-bcdf-c468c75738e7"
"Хокинг, Стивен","Стивен Хокинг","В своей книге «Краткая история времени» знаменитый английский физик Стивен Хокинг пытается ответить на вопросы, интересующие нас всех: откуда взялась Вселенная, как и почему она возникла, каков будет ее конец (если вообще будет) – и делает это настолько увлекательно и доступно, что книга, написанная в 1988 году, является бестселлером по сей день.","/Users/andriigorishnii/Calibre Library/Stivien Khokingh/Kratkaia istoriia vriemieni. Ot bol'shogho vzryva do chiernykh dyr (42)/cover.jpg","2022-05-06T11:45:45-07:00","epub, mobi","5942784264","42","mobi-asin:6BGARAUCHOGTS752D6DJTBM5PLJTFVMH,isbn:5942784264","rus","Calibre Library","2019-02-23T00:00:00-08:00","Издательство «Амфора»","","","1.0","1149947","","Краткая история времени. От большого взрыва до черных дыр","Краткая история времени. От большого взрыва до черных дыр","c7103b96-6f5a-429c-a642-119d0df9233c"
"Экзюпери, Антуан","Антуан Экзюпери","В одном из писем к матери Сент-Экзюпери признался: “Мне ненавистны люди, пишущие ради забавы, ищущие эффектов. Надо иметь что сказать”. Ему, романтику неба, не чуравшемуся земных радостей, любившему, по свидетельству друзей, “писать, говорить, петь, играть, докапываться до сути вещей, есть, обращать на себя внимание, ухаживать за женщинами”, человеку проницательного ума со своими достоинствами и недостатками, но всегда стоявшему на защите общечеловеческих ценностей, было “что сказать”. И он это сделал: написал сказку “Маленький принц”, о самом важном в этой жизни, жизни на планете Земля, все чаще такой неласковой, но любимой и единственной.","/Users/andriigorishnii/Calibre Library/Antuan Ekziupieri/Malien'kii Prints (43)/cover.jpg","2022-05-06T11:47:00-07:00","epub, mobi","","43","mobi-asin:ABSNYRCPT7KL2XQSPK54IUMKDRPWLPYY","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","1068241","","Маленький Принц","Маленький Принц","fbc5144e-c8c5-4ab2-8f70-dea30c2aadba"
"Свааб, Дік","Дік Свааб","Дік Свааб — лікар та вчений-нейробіолог зі світовим ім’ям, який з 1978 по 2005 рік був керівником Нідерландського інституту головного мозку при Нідерландській королівській академії наук, почесний професор нейробіології в Університеті Амстердаму, лицар ордену Нідерландського лева, автор понад 540 наукових статей і співавтор близько 200 книг. Але жодна з них не спричинила такого шквалу суперечок, як видана 2010 року науково-популярна книга «Ми — це наш мозок». У 2011 році вона стала науковим бестселером, посівши за популярністю в Нідерландах четверте місце. Сьогодні продано вже понад 300 тисяч примірників книги, яка знайшла свого читача в багатьох країнах світу.","/Users/andriigorishnii/Calibre Library/Dik Svaab/Mi -- tsie nash mozok (44)/cover.jpg","2022-05-06T11:48:11-07:00","epub, mobi","","44","mobi-asin:F3AB7MLZRL57WNHURNW4NSW7IJH6TPMD","ukr","Calibre Library","2020-11-30T00:00:00-08:00","","","","1.0","4349939","","Ми — це наш мозок","Ми — це наш мозок","bb440afc-4794-495c-8abb-0541bb6deff9"
"Кизи, Кен","Кен Кизи","","/Users/andriigorishnii/Calibre Library/Kien Kizi/Nad kukushkinym ghniezdom (45)/cover.jpg","2022-05-06T11:48:57-07:00","epub, mobi","","45","mobi-asin:7COD6JWO26BM43TO4XPC5JV6CGK6Y6BZ","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","641574","","Над кукушкиным гнездом","Над кукушкиным гнездом","a5a52014-67b5-409e-839b-76f9ee5b081b"
"Хаксли, Олдос","Олдос Хаксли","Олдос Хаксли - знаменитый писатель, классик английской литературы XX века, один из создателей так называемого «интеллектуального романа», автор всемирно известных романов «Желтый Кром» (1921), «Контрапункт» (1928), «Слепец в Газе» (1936) и многих других. В настоящем издании вниманию читателей предлагается блестящий роман-антиутопия «О дивный новый мир», созданный Олдосом Хаксли в 1932 году и по праву занимающий место в одном ряду с такими литературными шедеврами минувшего столетия, как романы «Мы» Е. Замятина и «1984» Дж. Оруэлла.","/Users/andriigorishnii/Calibre Library/Oldos Khaksli/O divnyi novyi mir (46)/cover.jpg","2022-05-06T11:50:22-07:00","epub, mobi","","46","mobi-asin:OU5U3SSYVIITXEKWCL3N2K6TJKEMSLU2","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","539581","","О дивный новый мир","О дивный новый мир","f5363877-5e13-45ca-aa49-c0842a697a6b"
"Ильяхов, Максим","Максим Ильяхов","","/Users/andriigorishnii/Calibre Library/Maksim Il'iakhov/Pishi, sokrashchai. Kak sozdavat' sil'nyi tiekst (47)/cover.jpg","2022-05-06T11:51:38-07:00","epub, mobi","","47","mobi-asin:RSFOGA7NMECNODYJWVRIQSPF2RDB4TO3","eng","Calibre Library","2020-07-08T00:00:00-07:00","","","","1.0","1403952","","Пиши, сокращай. Как создавать сильный текст","Пиши, сокращай. Как создавать сильный текст","d7dd091e-2fa3-4af3-9e43-c780bf3b487e"
"Голдинг, Уильям","Уильям Голдинг","«Повелитель мух». Подлинный шедевр мировой литературы. Странная, страшная и бесконечно притягательная книга. Книга, которую трудно читать – и от которой невозможно оторваться. История благовоспитанных мальчиков, внезапно оказавшихся на необитаемом острове. Философская притча о том, что может произойти с людьми, забывшими о любви и милосердии. Гротескная антиутопия, роман-предупреждение и, конечно, напоминание о хрупкости мира, в котором живем мы все. Все это – «Повелитель мух», книга, которую можно перечитывать снова и снова.
","/Users/andriigorishnii/Calibre Library/Uil'iam Goldingh/Povielitiel' mukh (48)/cover.jpg","2022-05-06T11:52:56-07:00","epub, mobi","","48","mobi-asin:HE6MOGOYR2BKCNB3TR63IOBCIAWPB7PU","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","412396","","Повелитель мух","Повелитель мух","2d3379d4-5a1a-4541-85ae-82978c0aee67"
"Твен, Марк","Марк Твен","","/Users/andriigorishnii/Calibre Library/Mark Tvien/Prikliuchieniia Toma Soiiera. Prikliuchieniia Giekl'bierri Finna (49)/cover.jpg","2022-05-06T11:54:55-07:00","epub, mobi","","49","mobi-asin:VDOUZAUD2VDHJJ33Z2W3WTKOEQJ72XKS","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","5029042","","Приключения Тома Сойера. Приключения Гекльберри Финна","Приключения Тома Сойера. Приключения Гекльберри Финна","5fbdedc5-2909-4be2-9491-8c9ca1f7add2"
"Литвак, Михаил","Михаил Литвак","В учебном пособии рассказано о приемах и методах применяемых автором на сеансах групповой психотерапии, психологических тренингах, а также при индивидуальном семейном и производственном консультировании (целенаправленное моделирование эмоций, психологическое айкидо, сценарное перепрограммирование, и др.). Описан объединяющий их общий принцип. Рассчитано на психотерапевтов, психологов, педагогов. Увлекательная и необычная манера изложения делает книгу доступной широкому кругу читателей, интересующихся психологией общения.
","/Users/andriigorishnii/Calibre Library/Mikhail Litvak/Printsip spiermatozoida (50)/cover.jpg","2022-05-06T11:56:50-07:00","epub, mobi","","50","mobi-asin:U7UTHVFTDLVC73VBJZDXYKEJ4SJTHMVG","rus","Calibre Library","2019-02-23T00:00:00-08:00","","","","1.0","1246668","","Принцип сперматозоида","Принцип сперматозоида","f0ac4b4f-5612-476d-b41a-217091aa11df"
